iter	Passed	Remaining
0	3	3020
1	4	2471
2	7	2417
3	9	2324
4	11	2247
5	13	2167
6	14	2104
7	16	2051
8	19	2196
9	22	2204
10	24	2179
11	26	2149
12	27	2123
13	29	2089
14	31	2052
15	35	2154
16	37	2143
17	39	2154
18	41	2145
19	43	2129
20	45	2117
21	48	2158
22	50	2137
23	52	2123
24	54	2110
25	56	2101
26	60	2195
27	62	2181
28	65	2183
29	67	2173
30	69	2173
31	71	2161
32	73	2141
33	74	2122
34	76	2105
35	79	2136
36	82	2137
37	84	2132
38	86	2129
39	88	2124
40	90	2110
41	91	2095
42	93	2078
43	95	2077
44	97	2076
45	99	2073
46	101	2057
47	103	2051
48	105	2043
49	107	2035
50	109	2035
51	110	2020
52	112	2013
53	114	2002
54	115	1992
55	117	1982
56	119	1972
57	120	1962
58	123	1967
59	125	1973
60	127	1969
61	129	1953
62	130	1947
63	132	1941
64	134	1940
65	136	1938
66	139	1937
67	141	1936
68	142	1929
69	144	1921
70	146	1912
71	147	1904
72	149	1897
73	151	1891
74	152	1884
75	155	1885
76	157	1884
77	158	1879
78	160	1872
79	162	1865
80	163	1860
81	165	1856
82	167	1849
83	169	1844
84	171	1845
85	173	1841
86	174	1828
87	175	1821
88	176	1810
89	178	1805
90	180	1803
91	182	1800
92	183	1789
93	186	1799
94	188	1798
95	191	1801
96	193	1801
97	195	1799
98	197	1795
99	199	1792
100	203	1809
101	205	1806
102	206	1801
103	208	1797
104	210	1797
105	212	1796
106	215	1795
107	218	1802
108	220	1800
109	222	1797
110	224	1795
111	225	1791
112	227	1788
113	229	1786
114	232	1789
115	234	1784
116	235	1780
117	237	1778
118	239	1775
119	241	1771
120	242	1763
121	244	1758
122	246	1756
123	248	1756
124	250	1754
125	253	1755
126	254	1752
127	256	1748
128	258	1744
129	260	1743
130	262	1742
131	264	1741
132	266	1738
133	268	1735
134	270	1730
135	271	1726
136	273	1721
137	274	1717
138	276	1713
139	278	1713
140	280	1710
141	282	1707
142	284	1703
143	285	1699
144	287	1696
145	289	1693
146	290	1687
147	292	1684
148	294	1679
149	296	1679
150	298	1677
151	300	1673
152	301	1671
153	302	1663
154	304	1659
155	305	1653
156	309	1659
157	311	1657
158	313	1656
159	315	1654
160	316	1651
161	318	1647
162	319	1641
163	321	1637
164	322	1630
165	324	1629
166	326	1628
167	328	1625
168	329	1618
169	330	1615
170	332	1611
171	334	1608
172	335	1604
173	337	1601
174	339	1602
175	341	1600
176	343	1596
177	345	1593
178	346	1590
179	348	1586
180	349	1583
181	352	1583
182	354	1583
183	356	1579
184	357	1574
185	359	1571
186	360	1569
187	362	1566
188	364	1562
189	365	1557
190	366	1553
191	370	1558
192	372	1558
193	374	1557
194	376	1556
195	378	1553
196	380	1549
197	382	1548
198	384	1548
199	387	1548
200	389	1546
201	390	1543
202	392	1540
203	393	1537
204	395	1533
205	397	1532
206	400	1535
207	403	1534
208	405	1532
209	406	1529
210	408	1526
211	409	1523
212	411	1520
213	413	1517
214	415	1515
215	417	1514
216	419	1512
217	420	1506
218	421	1504
219	423	1501
220	425	1499
221	427	1496
222	428	1493
223	430	1491
224	433	1491
225	434	1489
226	436	1487
227	439	1487
228	440	1482
229	441	1479
230	443	1476
231	445	1473
232	447	1472
233	449	1471
234	451	1470
235	454	1471
236	456	1470
237	459	1469
238	462	1472
239	464	1471
240	466	1470
241	468	1467
242	470	1466
243	472	1464
244	474	1461
245	476	1459
246	479	1461
247	481	1459
248	482	1456
249	484	1453
250	486	1451
251	488	1448
252	490	1446
253	492	1445
254	494	1443
255	495	1441
256	498	1439
257	499	1437
258	500	1432
259	502	1429
260	503	1426
261	505	1423
262	507	1421
263	509	1420
264	511	1418
265	513	1417
266	515	1414
267	516	1412
268	518	1409
269	520	1407
270	522	1404
271	524	1405
272	527	1403
273	529	1402
274	530	1398
275	532	1396
276	533	1393
277	535	1390
278	537	1387
279	539	1388
280	541	1386
281	543	1383
282	544	1380
283	545	1376
284	547	1373
285	549	1370
286	550	1367
287	552	1365
288	555	1367
289	557	1365
290	559	1362
291	560	1359
292	562	1357
293	564	1354
294	565	1351
295	567	1349
296	569	1346
297	571	1345
298	574	1345
299	575	1343
300	577	1341
301	579	1339
302	581	1336
303	582	1334
304	584	1332
305	587	1331
306	589	1329
307	591	1328
308	593	1326
309	594	1323
310	596	1321
311	597	1318
312	600	1318
313	603	1317
314	604	1315
315	605	1311
316	607	1308
317	609	1306
318	610	1303
319	612	1301
320	613	1298
321	615	1296
322	618	1295
323	619	1293
324	621	1290
325	623	1288
326	624	1285
327	626	1283
328	628	1281
329	630	1279
330	633	1280
331	635	1278
332	637	1276
333	638	1274
334	640	1271
335	642	1269
336	644	1267
337	645	1264
338	648	1264
339	650	1262
340	652	1260
341	654	1259
342	656	1256
343	658	1255
344	660	1253
345	661	1251
346	664	1249
347	665	1247
348	668	1246
349	670	1244
350	672	1243
351	674	1241
352	676	1239
353	678	1238
354	680	1235
355	682	1233
356	684	1232
357	686	1230
358	688	1228
359	689	1225
360	691	1223
361	693	1222
362	695	1221
363	697	1219
364	699	1216
365	701	1214
366	703	1212
367	704	1210
368	710	1215
369	712	1213
370	714	1212
371	716	1210
372	718	1208
373	720	1205
374	721	1202
375	723	1200
376	726	1199
377	727	1197
378	729	1195
379	731	1193
380	733	1191
381	734	1188
382	736	1186
383	738	1184
384	740	1183
385	742	1181
386	744	1179
387	746	1177
388	748	1175
389	749	1172
390	751	1170
391	753	1168
392	755	1166
393	757	1165
394	759	1163
395	761	1162
396	764	1160
397	765	1158
398	767	1156
399	770	1156
400	773	1155
401	775	1154
402	777	1152
403	779	1149
404	781	1147
405	782	1145
406	785	1144
407	787	1142
408	789	1140
409	791	1138
410	793	1137
411	794	1134
412	796	1132
413	798	1129
414	800	1128
415	803	1127
416	804	1124
417	806	1122
418	807	1119
419	809	1117
420	810	1114
421	812	1112
422	813	1109
423	815	1107
424	817	1105
425	819	1103
426	820	1101
427	822	1099
428	824	1096
429	825	1094
430	827	1092
431	828	1089
432	830	1088
433	833	1086
434	835	1084
435	837	1083
436	838	1080
437	842	1081
438	844	1079
439	846	1077
440	848	1076
441	850	1073
442	852	1071
443	854	1070
444	858	1071
445	861	1069
446	862	1067
447	864	1064
448	865	1062
449	867	1060
450	869	1058
451	874	1060
452	876	1058
453	878	1056
454	880	1054
455	882	1052
456	884	1051
457	886	1049
458	890	1049
459	891	1047
460	893	1044
461	895	1043
462	898	1041
463	900	1039
464	903	1039
465	906	1038
466	939	1072
467	942	1070
468	944	1069
469	954	1076
470	957	1075
471	961	1075
472	963	1073
473	965	1071
474	968	1070
475	970	1068
476	972	1066
477	974	1064
478	976	1062
479	978	1059
480	980	1057
481	982	1056
482	985	1054
483	987	1052
484	989	1050
485	991	1048
486	992	1045
487	994	1042
488	995	1040
489	998	1039
490	1001	1037
491	1003	1035
492	1005	1033
493	1006	1031
494	1008	1028
495	1010	1026
496	1011	1024
497	1014	1023
498	1016	1020
499	1018	1018
500	1020	1016
501	1022	1014
502	1024	1011
503	1025	1009
504	1027	1007
505	1030	1006
506	1032	1004
507	1034	1002
508	1036	999
509	1038	997
510	1040	995
511	1043	994
512	1045	992
513	1048	991
514	1050	988
515	1051	986
516	1054	984
517	1055	982
518	1058	981
519	1061	979
520	1063	977
521	1064	975
522	1066	972
523	1068	970
524	1070	968
525	1072	966
526	1074	964
527	1076	962
528	1078	960
529	1080	958
530	1083	956
531	1084	954
532	1086	952
533	1088	949
534	1089	947
535	1091	945
536	1093	943
537	1095	940
538	1096	938
539	1098	935
540	1100	933
541	1102	931
542	1103	929
543	1106	927
544	1109	926
545	1111	923
546	1112	921
547	1114	919
548	1117	917
549	1118	915
550	1120	912
551	1122	910
552	1124	908
553	1126	906
554	1127	904
555	1129	901
556	1131	899
557	1132	897
558	1134	894
559	1136	892
560	1139	891
561	1141	889
562	1145	889
563	1147	887
564	1149	885
565	1152	883
566	1154	881
567	1156	879
568	1158	877
569	1159	875
570	1161	872
571	1162	869
572	1163	867
573	1165	864
574	1168	863
575	1170	861
576	1172	859
577	1173	857
578	1175	854
579	1177	852
580	1178	850
581	1180	847
582	1182	845
583	1184	843
584	1186	841
585	1188	839
586	1190	837
587	1191	835
588	1193	832
589	1195	830
590	1197	828
591	1199	826
592	1201	824
593	1204	823
594	1206	821
595	1208	819
596	1210	817
597	1211	814
598	1214	812
599	1216	810
600	1217	808
601	1219	806
602	1221	804
603	1222	801
604	1224	799
605	1226	797
606	1227	794
607	1229	792
608	1232	791
609	1233	788
610	1235	786
611	1237	784
612	1239	782
613	1240	780
614	1242	777
615	1247	777
616	1249	775
617	1251	773
618	1253	771
619	1255	769
620	1261	769
621	1262	767
622	1264	765
623	1266	763
624	1269	761
625	1271	759
626	1272	757
627	1275	755
628	1277	753
629	1279	751
630	1281	749
631	1283	747
632	1285	745
633	1287	743
634	1289	741
635	1292	739
636	1294	737
637	1296	735
638	1297	733
639	1299	730
640	1300	728
641	1302	726
642	1304	724
643	1306	722
644	1308	720
645	1310	717
646	1311	715
647	1312	713
648	1314	710
649	1316	708
650	1318	706
651	1319	704
652	1321	702
653	1323	700
654	1325	698
655	1327	695
656	1328	693
657	1331	691
658	1333	690
659	1336	688
660	1338	686
661	1339	683
662	1341	681
663	1342	679
664	1344	677
665	1346	675
666	1348	673
667	1349	670
668	1351	668
669	1353	666
670	1355	664
671	1356	662
672	1359	660
673	1360	658
674	1362	656
675	1364	653
676	1366	651
677	1367	649
678	1369	647
679	1371	645
680	1373	643
681	1374	640
682	1375	638
683	1377	636
684	1379	634
685	1380	632
686	1383	630
687	1385	628
688	1386	626
689	1388	624
690	1390	621
691	1392	619
692	1393	617
693	1395	615
694	1397	613
695	1399	611
696	1401	609
697	1402	606
698	1404	604
699	1406	602
700	1407	600
701	1409	598
702	1410	596
703	1412	594
704	1415	592
705	1417	590
706	1419	588
707	1420	586
708	1423	584
709	1425	582
710	1427	580
711	1429	578
712	1431	576
713	1433	574
714	1435	572
715	1437	570
716	1440	568
717	1442	566
718	1444	564
719	1447	562
720	1449	560
721	1451	558
722	1453	556
723	1455	554
724	1456	552
725	1458	550
726	1460	548
727	1462	546
728	1464	544
729	1466	542
730	1468	540
731	1470	538
732	1472	536
733	1474	534
734	1476	532
735	1478	530
736	1480	528
737	1481	526
738	1483	524
739	1485	522
740	1487	520
741	1491	518
742	1493	516
743	1495	514
744	1497	512
745	1499	510
746	1501	508
747	1503	506
748	1505	504
749	1507	502
750	1509	500
751	1511	498
752	1513	496
753	1516	494
754	1518	492
755	1520	490
756	1522	488
757	1524	486
758	1526	484
759	1527	482
760	1529	480
761	1532	478
762	1534	476
763	1537	474
